Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a2921bd51bb356581cbf1,5fb142fa3d818059f4cd5497,APPROVED,2022-12-14T19:51:01.226000Z,2022-12-14T20:05:49.478000Z,2022-12-14T23:17:13.031,2022-12-14T20:05:49.897564Z,889,CZELI6JD,1087,English,Right-handed,34,Male,White,United States,United States,United States,English,No,Part-Time
639a292dad14fe62062d4eba,571643bbcd6ea20009dbb6b0,APPROVED,2022-12-14T19:51:13.505000Z,2022-12-14T20:02:53.572000Z,2022-12-14T23:17:13.137,2022-12-14T20:02:53.915183Z,701,CZELI6JD,1228,English,Right-handed,33,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
639a293c61be41df7a2566b3,5f24993238b9f80892adf099,APPROVED,2022-12-14T19:52:22.439000Z,2022-12-14T20:04:34.786000Z,2022-12-14T23:17:13.239,2022-12-14T20:04:35.176906Z,733,CZELI6JD,191,"English, Punjabi",Right-handed,33,Female,Asian,United States,United States,United States,English,No,Full-Time
639a293e744a11d64b6b87ad,615e1782e969d4939045c54f,APPROVED,2022-12-14T19:51:34.246000Z,2022-12-14T20:44:45.158000Z,2022-12-14T23:17:13.338,2022-12-14T20:44:45.531886Z,3191,CZELI6JD,393,English,Right-handed,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a29583b38eecd24e0a152,5f878ac24e7e5f1ba4237c09,APPROVED,2022-12-14T19:51:54.821000Z,2022-12-14T20:02:13.900000Z,2022-12-14T23:17:13.437,2022-12-14T20:02:15.687523Z,620,CZELI6JD,709,English,Right-handed,36,Male,Mixed,United States,United States,United States,English,No,Other
639a296a22086e83942693bd,58211fc787f6b90001f13f90,APPROVED,2022-12-14T19:54:55.957000Z,2022-12-14T20:04:29.533000Z,2022-12-14T23:17:13.534,2022-12-14T20:04:29.926361Z,574,CZELI6JD,4410,English,Right-handed,40,Male,White,United States,United States,United States,English,No,Full-Time
639a2976310cc726ea9b0376,5727e394c68b5a000e397d8c,APPROVED,2022-12-14T19:52:22.952000Z,2022-12-14T20:08:15.275000Z,2022-12-14T23:17:13.635,2022-12-14T20:08:15.607825Z,953,CZELI6JD,791,English,Right-handed,38,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
639a2981bd51bb356581cbfe,6111747b20e9e9c8b651b36a,APPROVED,2022-12-14T19:52:52.475000Z,2022-12-14T20:05:21.761000Z,2022-12-14T23:17:13.740,2022-12-14T20:05:23.975230Z,750,CZELI6JD,981,English,Right-handed,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a298729b682ece1455d52,5d53bffa147a7d00015aae5a,APPROVED,2022-12-14T19:52:42.981000Z,2022-12-14T20:03:32.417000Z,2022-12-14T23:17:13.844,2022-12-14T20:03:32.792498Z,650,CZELI6JD,1649,English,Right-handed,30,Female,White,United States,United States,United States,English,No,Full-Time
639a2988b2fe208cd8daad44,60306cf6330619ee41fa3cd2,APPROVED,2022-12-14T19:52:42.244000Z,2022-12-14T20:06:08.932000Z,2022-12-14T23:17:13.953,2022-12-14T20:06:09.283928Z,807,CZELI6JD,2043,English,Right-handed,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
639a2992f6b65e1abfaf4905,5ef37831c37ebb0bbd2d3e03,APPROVED,2022-12-14T19:52:53.921000Z,2022-12-14T20:10:21.204000Z,2022-12-14T23:17:14.066,2022-12-14T20:10:21.572199Z,1048,CZELI6JD,2569,English,Right-handed,26,Male,Asian,Philippines,United States,United States,Tagalog-Filipino,No,Full-Time
639a29a8fe55f35742af495a,5ed85fbefd7ffe37615b73a4,APPROVED,2022-12-14T19:53:16.033000Z,2022-12-14T20:11:33.633000Z,2022-12-14T23:17:14.176,2022-12-14T20:11:33.996593Z,1098,CZELI6JD,30,English,Right-handed,27,Female,White,United States,United States,United States,English,No,Part-Time
639a29b3a3cebdd157afe6ad,6310dbdfda69599720736665,APPROVED,2022-12-14T19:53:33.841000Z,2022-12-14T20:05:43.131000Z,2022-12-14T23:17:14.283,2022-12-14T20:05:44.493441Z,730,CZELI6JD,607,English,Right-handed,32,Female,White,United States,United States,United States,English,No,Full-Time
639a29bf9813a77a8be1dabc,60d5ff02fef54b0399953c12,APPROVED,2022-12-14T19:53:37.585000Z,2022-12-14T20:05:05.703000Z,2022-12-14T23:17:14.389,2022-12-14T20:05:07.673414Z,689,CZELI6JD,469,English,Right-handed,22,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
639a29ebbd51bb356581cc07,63626a68cf44b4184483c8e8,RETURNED,2022-12-14T19:55:12.397000Z,2022-12-14T20:03:28.271000Z,,2022-12-14T20:03:28.710000Z,,CZELI6JD,356,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
639a2a092205111e1659bc34,615cee2b2f844e72c397977a,APPROVED,2022-12-14T19:54:52.727000Z,2022-12-14T20:06:11.557000Z,2022-12-14T23:17:14.497,2022-12-14T20:06:11.962697Z,679,CZELI6JD,126,English,Right-handed,20,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a2a1beb92de9d8d6a2887,5a94ca1a873cda0001dc7147,APPROVED,2022-12-14T19:55:16.035000Z,2022-12-14T20:08:04.446000Z,2022-12-14T23:17:14.597,2022-12-14T20:08:04.833747Z,769,CZELI6JD,2156,English,Right-handed,32,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
639a2a23f608b832bdae72b6,6041d51ff984371e3b18172d,APPROVED,2022-12-14T19:55:18.606000Z,2022-12-14T20:06:56.335000Z,2022-12-14T23:17:14.697,2022-12-14T20:06:56.758837Z,698,CZELI6JD,496,"English, German",Right-handed,25,Female,White,United States,United States,United States,English,Yes,Other
639a2a2f1574c3e1ecd91cdc,59d8ae913e5ea00001e1d05f,RETURNED,2022-12-14T19:55:27.357000Z,2022-12-14T20:43:31.237000Z,,2022-12-14T20:43:33.983518Z,,CZELI6JD,3616,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
639a2a3193669be7f29cee3f,5f50b1bbe29c992335098fb1,APPROVED,2022-12-14T19:55:32.026000Z,2022-12-14T20:48:12.822000Z,2022-12-14T23:17:14.804,2022-12-14T20:48:13.440300Z,3161,CZELI6JD,2388,English,Right-handed,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a2a3961be41df7a2566cc,629e633c82ed7bd84fce0f9a,APPROVED,2022-12-14T19:55:39.989000Z,2022-12-14T20:04:49.299000Z,2022-12-14T23:17:14.911,2022-12-14T20:04:49.684391Z,550,CZELI6JD,409,English,Right-handed,28,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a2a3a7e0706eadd60245e,5d9f5c0702dca80018822b8e,APPROVED,2022-12-14T19:55:41.828000Z,2022-12-14T20:45:58.270000Z,2022-12-14T23:17:15.026,2022-12-14T20:45:59.464578Z,3017,NOCODE,1878,English,Right-handed,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a2a57f8dcfe0fd7d02e28,614ea93d581d6f4281e9d232,APPROVED,2022-12-14T19:56:15.237000Z,2022-12-14T20:08:37.804000Z,2022-12-14T23:17:15.139,2022-12-14T20:08:38.222379Z,743,CZELI6JD,883,English,Right-handed,38,Female,White,United States,United States,United States,English,No,Full-Time
639a2a665c00b1635e3c0689,5b3e2334cdb4ce0001d93c51,APPROVED,2022-12-14T19:57:00.671000Z,2022-12-14T20:14:04.730000Z,2022-12-14T23:17:15.237,2022-12-14T20:14:05.124321Z,1025,CZELI6JD,2687,English,Right-handed,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a2a83daec7b11292d4e7f,5dd43c63390fb6428d4974f0,APPROVED,2022-12-14T19:56:55.189000Z,2022-12-14T20:18:16.595000Z,2022-12-14T23:17:15.354,2022-12-14T20:18:17.553816Z,1282,CZELI6JD,1030,English,Right-handed,38,Female,White,United States,United States,United States,English,No,Full-Time
639a2a8d0f13984d5d1b58b7,63162e1bbde3c4bb1d9d92a3,APPROVED,2022-12-14T19:57:04.541000Z,2022-12-14T20:10:07.477000Z,2022-12-14T23:17:15.455,2022-12-14T20:10:07.897600Z,783,CZELI6JD,613,English,Right-handed,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a2a9086f242b2f212e7b6,56a93cf24020250005d62f2b,APPROVED,2022-12-14T19:57:06.212000Z,2022-12-14T20:07:08.687000Z,2022-12-14T23:17:15.554,2022-12-14T20:07:09.071153Z,603,CZELI6JD,1598,English,Right-handed,32,Female,White,United States,United States,United States,English,No,Other
639a2a9960b0479d98ecbcd4,55ea70c37480920010aa9982,APPROVED,2022-12-14T20:02:22.712000Z,2022-12-14T20:32:55.354000Z,2022-12-14T23:17:15.654,2022-12-14T20:32:55.752052Z,1833,CZELI6JD,2372,"English, Japanese",Right-handed,35,Male,Black,United States,United States,United States,English,No,Part-Time
639a2a9ff750fac3dfbfc38e,5dcc3ec7db13278d75c8622f,APPROVED,2022-12-14T19:57:19.913000Z,2022-12-14T20:12:55.232000Z,2022-12-14T23:17:15.753,2022-12-14T20:12:58.796133Z,936,CZELI6JD,1093,English,Right-handed,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a2aa518314fa74ac77fdf,62b055b8af4eda974466ad0d,APPROVED,2022-12-14T19:57:28.383000Z,2022-12-14T20:09:40.937000Z,2022-12-14T23:17:15.852,2022-12-14T20:09:41.594839Z,733,CZELI6JD,1282,English,Right-handed,37,Female,White,United States,United States,United States,English,No,Full-Time
