subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude
60ff18bdffbecdc08f0ff60f	z	91.25	90	90.625	90.625	87.5	93.75	90.625	90.625	592	691	860	876	748.5	629.973	0	0	0	0	0	0
6102f78ac1791768db58ed54	z	85	83.75	43.75	94.53125	93.75	100	96.875	87.5	665.5	721.5	648	695	689.5	692.606	0	0	0	0	0	0
6104b1c50f6057c1d8a6e3a6	z	92.5	96.25	90.625	95.3125	93.75	90.625	96.875	100	676	713.5	637	516	651.5	726.966	0	0	0	0	0	0
6108bb33c59f5718fbf341e5	z	90	91.25	59.375	98.4375	100	96.875	100	96.875	449.5	408.5	398.5	473	421	1065.681	0	0	0	0	0	0
6109f35a1b748c0a8876d117	slash	98.75	87.5	65.625	100	100	100	100	100	431	407.5	432.5	444	427	499.414	0	0	0	0	0	0
6110bd9e993f6fa5560b68f5	z	96.25	96.25	100	95.3125	93.75	93.75	93.75	100	749	745	753.5	741	743	592.486	0	0	0	0	0	0
6110d7f556da416401efdd5f	slash	90	92.5	62.5	98.4375	100	96.875	96.875	100	465	475.5	440.5	439	451.5	519.201	0	0	0	0	0	0
61114b774f9199a8f8f75de2	z	81.25	85	62.5	88.28125	93.75	84.375	87.5	87.5	675	848	671	691.5	693	801.052	0	0	0	0	0	0
61116b7ba2ada479c60a86e7	slash	92.5	96.25	90.625	95.3125	93.75	100	93.75	93.75	774	681	747	754.5	729	720.757	0	0	0	0	0	0
611195657110219178aa70e1	slash	95	91.25	87.5	94.53125	100	96.875	84.375	96.875	880.5	896	930.5	909.5	907.5	667.74	0	0	0	0	0	0
6112dba8e2eb90519a46e6cf	slash	96.25	95	96.875	95.3125	96.875	87.5	100	96.875	684	744.5	725.5	811	728	545.602	0	0	0	0	0	0
611f123e92042b11d0b1ef8d	slash	86.25	91.25	93.75	87.5	90.625	96.875	84.375	78.125	501	488	564.5	547.5	508	756.319	0	0	0	0	0	0
61281debe85082cc937dd9ae	slash	95	100	96.875	97.65625	93.75	96.875	100	100	632.5	678.5	632.5	674.5	656	626.21	0	0	0	0	0	0
612d20ea1043719545f90f62	slash	97.5	97.5	90.625	99.21875	96.875	100	100	100	672	652	680.5	649	666	679.504	0	0	0	0	0	0
613909e5cf0d18ff1e3162a9	slash	93.75	93.75	87.5	95.3125	93.75	100	93.75	93.75	452	521.5	581.5	553.5	528	556.088	0	0	0	0	0	0
6155d24e3306f96464879b38	z	98.75	97.5	100	97.65625	96.875	96.875	100	96.875	1009.5	1003	1015.5	1008	1009	1918.751	0	0	0	0	0	0
628f0d7e3055b5d1887916c5	slash	86.25	86.25	56.25	93.75	93.75	100	87.5	93.75	469.5	502.5	570.5	549	519	608.335	0	0	0	0	0	0
6297b5dba0b83527c9907832	slash	72.5	82.5	37.5	87.5	78.125	87.5	87.5	96.875	364.5	331	468.5	424.5	380.5	545.574	0	0	0	0	0	0
62a33f5217536a32157d874e	z	93.75	85	96.875	87.5	90.625	96.875	84.375	78.125	670.5	738.5	873	695	717.5	736.605	0	0	0	0	0	0
62b9b95e108fbc4df78a2956	z	85	83.75	43.75	94.53125	100	100	96.875	81.25	399.5	389	429.5	493	418.5	576.216	0	0	0	0	0	0
62b9cf42a63194f71fc0a393	z	100	98.75	96.875	100	100	100	100	100	508.5	543	526.5	505.5	524.5	725.745	0	0	0	0	0	0
62e29cbc8c0f3271aae4d7bf	slash	82.5	90	59.375	92.96875	100	81.25	93.75	96.875	634.5	641	651.5	524.5	605.5	609.905	0	0	0	0	0	0
62ec219e5f3634408fb35580	slash	87.5	96.25	87.5	92.96875	100	96.875	90.625	84.375	861	862	884	902	870	768.642	0	0	0	0	0	0
62f58a7129fb13cf46a08ae0	slash	97.5	98.75	96.875	98.4375	96.875	96.875	100	100	621	652	671	610.5	632	551.396	0	0	0	0	0	0
630345dd92f26599c777a5fc	slash	95	96.25	84.375	98.4375	100	100	93.75	100	430.5	447.5	577	456	451	721.589	0	0	0	0	0	0
6307a60f9142d2c42021840d	z	87.5	88.75	59.375	95.3125	100	96.875	100	84.375	383	462.5	388.5	405.5	404	524.559	0	0	0	0	0	0
630ab689392291ba70d7fd3d	slash	92.5	97.5	81.25	98.4375	96.875	96.875	100	100	687	713.5	713	660	694	850.009	0	0	0	0	0	0
630c1ad62af2905fb5bb3d1d	slash	78.75	96.25	78.125	89.84375	84.375	93.75	81.25	100	917	924.5	1043.5	948	962.5	875.046	0	0	0	0	0	0
63106ea4e8fe9c6cd32bf358	z	85	93.75	53.125	98.4375	100	100	96.875	96.875	617	613.5	605.5	569.5	605.5	618.189	0	0	0	0	0	0
631b593a9bb21bb86ea260a7	slash	90	92.5	84.375	92.96875	96.875	93.75	87.5	93.75	642	636.5	731.5	666	664.5	803.763	0	0	0	0	0	0
631fc3e54c3c0515402fdd17	z	95	95	87.5	96.875	96.875	100	96.875	93.75	658.5	788.5	647	737.5	712.5	650.746	0	0	0	0	0	0
632436c12617a96bb55a2ca8	z	83.75	81.25	37.5	93.75	96.875	90.625	100	87.5	612.5	595.5	649	660.5	631	641.587	0	0	0	0	0	0
6339759d40c0cfec41fac4cb	slash	62.5	91.25	93.75	72.65625	100	100	46.875	43.75	478.5	464.5	2000	2000	674	621.171	0	0	0	0	0	0
6350714b7f29a002b46db87a	z	96.25	96.25	84.375	99.21875	96.875	100	100	100	770	759	790	785	771.5	580.595	0	0	0	0	0	0
636162be3bacd9edefc8d894	z	92.5	90	56.25	100	100	100	100	100	380.5	383.5	381.5	359	377.5	659.488	0	0	0	0	0	0
63616c4bc6ecb76a9f0a5f21	slash	93.75	92.5	75	97.65625	100	100	90.625	100	362	382	391.5	374.5	380.5	603.087	0	0	0	0	0	0
