subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	headphonecheck_nCorrect	stereocheck_nCorrect	DL_right	DL_left	DL_other	DL_monoPctCorrect	DL_dualPctCorrect	DL_lat	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response	DL_i1_clickhand
55a47692fdf99b126e625257	z	86.25	82.5	84.375	84.375	100	56.25	84.375	96.875	648.5	895	718	663.5	692.5	1177.254	0	0	0	0	3	6	36	36	48	70.83	60	0	25	25	25	25	100	33	US	Not listed: agender	14	Black or African American	No	No	NA	NA	100
55ad3f2dfdf99b563a2471c8	z	98.75	96.25	93.75	98.4375	100	96.875	100	96.875	417	473	502	574	482	1008.511	0	0	0	0	6	6	35	68	17	95.83	85.83	-32.038834951456316	-25	25	-25	12.5	-12.5	27	UK	Male	18	White	No	No	NA	NA	100
55b42b7cfdf99b5244217cf4	z	93.75	86.25	81.25	92.1875	96.875	84.375	93.75	93.75	546	626	720.5	763.5	635.5	823.933	0	0	0	0	6	6	32	63	25	100	79.17	-32.631578947368425	12.5	12.5	12.5	25	62.5	36	US	Female	18	American Indian or Alaska Native	Yes	No	NA	Thanks for an interesting study	100
55bd8669fdf99b5bfc7d4cfc	slash	98.75	98.75	93.75	100	100	100	100	100	638.5	673.5	681	653	660.5	1068.836	0	0	0	0	6	6	53	34	33	95.83	72.5	21.839080459770116	25	12.5	12.5	25	75	29	US	Male	12	Black or African American	No	No	NA	NA	100
55d06fd334e9060012e5781c	slash	88.75	93.75	78.125	94.53125	100	84.375	100	93.75	596	653	763.5	734	700.5	1172.834	0	0	0	0	6	6	61	36	23	95.83	80.83	25.773195876288657	-25	-25	-25	-25	-100	35	UK	Female	16	White	No	No	NA	no	100
55d09e4934e9060005e5729a	slash	73.75	85	75	80.46875	93.75	90.625	65.625	71.875	396	508	578	580.5	508	770.593	0	0	0	0	6	6	46	46	28	100	76.67	0	-25	-12.5	-12.5	-25	-75	28	UK	Male	14	White	No	No	NA	NA	100
55d4c46f58c35800113dc131	z	98.75	96.25	96.875	97.65625	100	90.625	100	100	790	780	780.5	806	792	991.533	0	0	0	0	6	6	55	43	22	91.67	81.67	12.244897959183673	25	25	0	25	75	35	UK	Female	16	White	No	No	NA	NA	100
55d51a6b8ce09000127d4821	slash	90	91.25	56.25	99.21875	100	100	96.875	100	623.5	739	700	663	679.5	956.093	0	0	0	0	6	6	20	91	9	100	92.5	-63.96396396396396	-25	-25	-25	-25	-100	33	UK	Male	16	White	No	No	NA	NA	-100
55da1c4669dbc30010b67569	z	95	98.75	100	96.09375	93.75	100	96.875	93.75	808.5	790	847.5	839	829	1017.261	0	0	0	0	5	6	62	37	21	95.83	82.5	25.252525252525253	25	12.5	12.5	12.5	62.5	33	UK	Male	16	White	No	No	NA	NA	100
55eb04337480920010aa9e0d	slash	85	96.25	93.75	89.84375	93.75	81.25	87.5	96.875	615.5	721.5	723	653.5	653	680.123	0	0	0	0	6	6	66	44	10	95.83	91.67	20	25	25	25	25	100	37	US	Male	14	White	No	No	NA	NA	100
55f9e9564f51400011296872	slash	83.75	87.5	87.5	85.15625	81.25	84.375	90.625	84.375	979.5	790	942	1029.5	931	1580.693	0	0	0	0	6	5	86	15	19	91.67	84.17	70.29702970297029	-25	0	-25	-25	-75	39	UK	Female	16	White	No	No	NA	NA	50
5608a73fd7def20012b7389d	z	90	82.5	96.875	83.59375	100	93.75	65.625	75	641	678.5	990.5	932	759.5	637.492	0	0	0	0	6	6	40	47	33	95.83	72.5	-8.045977011494253	25	25	25	25	100	35	US	Male	16	White	No	No	NA	NA	100
5611f6dd7ffc8a00058117e7	z	57.49999999999999	66.25	87.5	55.46875	96.875	96.875	18.75	9.375	640.5	596.5	2000	2000	1144.5	1317.826	0	1	0	0	3	4	27	26	67	58.33	44.17	1.8867924528301887	-25	-25	-25	-25	-100	34	US	Male	12	White	No	No	NA	NA	0
5638d3a544e8c8000ee869a2	slash	91.25	91.25	68.75	96.875	100	96.875	90.625	100	426	402.5	573	460	457.5	660.395	0	0	0	0	5	6	75	12	33	87.5	72.5	72.41379310344827	25	12.5	12.5	12.5	62.5	34	US	Male	14	White	Yes	No	NA	NA	100
5640acc0074be600055e9afd	slash	93.75	100	96.875	96.875	100	90.625	100	96.875	709	816.5	894	736.5	803	816.846	0	0	0	0	6	6	69	28	23	83.33	80.83	42.2680412371134	-25	-25	-12.5	-25	-87.5	32	UK	Female	12	Multiple	No	No	NA	NA	-100
564e93659b124900127eb55b	z	92.5	92.5	84.375	94.53125	100	100	93.75	84.375	956.5	913	1003.5	993.5	964	634.66	0	0	0	0	6	6	48	51	21	83.33	82.5	-3.0303030303030303	25	25	25	25	100	31	US	Male	18	Asian	No	No	NA	NA	100
5654175604212700054a12b1	z	82.5	76.25	81.25	78.90625	100	100	46.875	68.75	433	442	2000	725	521.5	633.853	0	0	0	0	6	6	69	37	14	100	88.33	30.18867924528302	25	25	25	25	100	32	US	Male	12	Asian	No	No	NA	NA	100
5658000ca9872d0011e1ba26	slash	80	95	78.125	89.84375	93.75	75	96.875	93.75	947	1129.5	998.5	1064.5	1037.5	842.497	0	0	0	0	6	6	101	10	9	100	92.5	81.98198198198197	25	25	25	25	100	33	US	Male	12	White	No	No	NA	NA	100
565955077d6957000adfe029	z	93.75	63.74999999999999	96.875	74.21875	93.75	93.75	46.875	62.5	658.5	574.5	2000	1007.5	749.5	1026.574	0	0	0	0	6	6	58	30	32	83.33	73.33	31.818181818181817	25	25	25	25	100	27	US	Not listed: nonbinary	12	Black or African American	No	No	NA	NA	100
56b4b565b2de2a000d3316ba	z	95	93.75	84.375	96.875	100	96.875	90.625	100	474.5	631	633.5	512	540	531.392	0	0	0	0	6	6	52	52	16	100	86.67	0	25	25	25	25	100	33	US	Female	12	White	No	No	NA	NA	100
56c89222dfea6c000bb23762	z	90	88.75	96.875	87.5	96.875	96.875	68.75	87.5	702	818	1044	703.5	837.5	1225.343	0	0	0	0	6	6	77	18	25	87.5	79.17	62.10526315789474	25	25	12.5	12.5	75	32	US	Male	16	White	No	No	NA	NA	100
56d7623f04c67d000c7b9de6	z	96.25	95	84.375	98.4375	100	93.75	100	100	495.5	561	562.5	520	538	1200.892	0	0	0	0	6	6	51	44	25	100	79.17	7.368421052631578	12.5	12.5	12.5	12.5	50	34	UK	Female	16	White	No	No	NA	Everything went smoothly	100
56e1bb4e6ce054000b3ffcaf	z	92.5	90	87.5	92.1875	100	100	75	93.75	824	876.5	972	956	920	558.567	0	0	0	0	6	6	76	31	13	100	89.17	42.05607476635514	-25	-12.5	-25	-25	-87.5	35	UK	Male	16	White	No	No	NA	NA	50
56f7f09335c4760006278fca	z	81.25	82.5	96.875	78.125	96.875	78.125	78.125	59.375	624.5	731	1036.5	1295.5	815.5	739.694	0	0	0	0	4	6	43	63	14	100	88.33	-18.867924528301888	-25	12.5	-25	-12.5	-50	30	UK	Male	12	White	No	No	NA	NA	-100
56fc8248b5648e000fac9980	slash	97.5	96.25	96.875	96.875	100	90.625	96.875	100	810.5	766.5	811	790.5	793	1350.856	0	0	0	0	6	6	61	37	22	91.67	81.67	24.489795918367346	25	25	25	25	100	36	US	Male	12	White	No	No	NA	NA	100
571144323d47e800096358d9	z	97.5	98.75	96.875	98.4375	100	100	93.75	100	453	415.5	589.5	495	493	525.696	0	0	0	0	6	6	76	27	17	83.33	85.83	47.57281553398058	25	25	25	25	100	35	US	Male	16	White	No	No	NA	no	100
5715699a30185b0008b40009	z	95	90	78.125	96.09375	100	100	90.625	93.75	430.5	443.5	559	524	490.5	1129.901	0	0	0	0	6	6	51	52	17	100	85.83	-0.9708737864077669	-25	-25	-25	-25	-100	28	US	Male	16	Multiple	Yes	No	NA	NA	100
5717864c94d4fc001297198d	z	78.75	83.75	31.25	93.75	96.875	90.625	96.875	90.625	319	336	319.5	287.5	309.5	582.419	1	0	0	0	6	6	25	67	28	91.67	76.67	-45.65217391304348	-25	-25	-25	-25	-100	39	UK	Female	16	White	No	No	NA	NA	-100
571f543bf6d15a0013df11e1	slash	98.75	91.25	87.5	96.875	100	93.75	96.875	96.875	520.5	615.5	614.5	641	614.5	1075.158	0	0	0	0	2	3	66	31	23	100	80.83	36.08247422680412	-25	12.5	0	-25	-37.5	39	UK	Female	18	White	No	No	NA	NA	100
572bcf0d34b25a000edd2cf1	slash	95	96.25	87.5	97.65625	96.875	100	93.75	100	933.5	863.5	1041.5	1075.5	968	1393.907	0	0	0	0	4	6	78	28	14	95.83	88.33	47.16981132075472	12.5	0	25	25	62.5	36	US	Male	14	White	No	No	NA	NA	100
572f8258ad13160010008a61	slash	100	96.25	93.75	99.21875	96.875	100	100	100	438.5	533.5	486.5	510.5	489	1885.009	0	0	0	0	6	6	75	37	8	95.83	93.33	33.92857142857143	-25	0	-12.5	-12.5	-50	30	UK	Female	18	White	No	No	NA	NA	50
5732a7595bb657000f727f02	slash	100	98.75	96.875	100	100	100	100	100	496	534	617	583.5	562	561.261	0	0	0	0	5	6	90	16	14	95.83	88.33	69.81132075471697	-25	-25	-25	-25	-100	22	US	Male	16	White	No	No	NA	NA	100
5766d2f7fdff7a0001c1285b	slash	91.25	92.5	68.75	97.65625	96.875	100	96.875	96.875	590.5	645.5	638.5	699	642.5	1103.977	0	0	0	0	4	6	69	26	25	95.83	79.17	45.26315789473684	-25	-25	-25	-25	-100	36	US	Female	12	White	Yes	No	NA	NA	100
576745749dcd970001dbdd0b	z	96.25	83.75	84.375	91.40625	100	84.375	84.375	96.875	416	450	507.5	403.5	443.5	899.044	0	0	0	0	6	6	54	52	14	54.17	88.33	1.8867924528301887	-25	-25	-25	-25	-100	32	UK	Female	12	White	No	No	NA	NA	100
57739704c1b42d0001a58ae6	slash	91.25	96.25	87.5	95.3125	90.625	96.875	93.75	100	593	571	657	620	605.5	653.322	0	0	0	0	6	6	49	56	15	100	87.5	-6.666666666666667	-25	12.5	-12.5	12.5	-12.5	34	UK	Female	16	White	No	No	NA	NA	100
577d1216b425c40001434b2f	slash	95	97.5	84.375	99.21875	100	100	100	96.875	531.5	528.5	550	550	540.5	1150.588	0	0	0	0	6	6	55	55	10	100	91.67	0	-25	-25	-25	-25	-100	39	UK	Female	16	White	No	No	NA	NA	100
577d6a6c160201000103d7fc	z	91.25	90	84.375	92.1875	100	96.875	87.5	84.375	790	769	941	990	850.5	1080.437	0	0	0	0	5	6	66	42	12	100	90	22.22222222222222	25	25	12.5	25	87.5	32	US	Male	16	White	Yes	No	NA	NA	100
578b5756160201000103fe40	z	96.25	100	93.75	99.21875	100	100	100	96.875	590	652	597	550.5	586.5	531.627	0	0	0	0	5	6	61	57	2	100	98.33	3.389830508474576	25	12.5	12.5	12.5	62.5	27	US	Male	12	White	Yes	No	NA	NA	100
579f1d3bc9abeb0001af52d8	slash	88.75	97.5	75	97.65625	100	93.75	96.875	100	915	814.5	980.5	979	935	653.996	0	0	0	0	6	6	69	32	19	100	84.17	36.633663366336634	25	25	25	25	100	40	US	Male	16	Black or African American	No	No	NA	NA	100
57a5c633275be6000135b61c	z	86.25	87.5	65.625	92.1875	87.5	96.875	90.625	93.75	460	540	483	496	491	843.599	0	0	0	0	6	6	14	90	16	95.83	86.67	-73.07692307692307	-25	-25	0	-25	-75	27	UK	Female	16	White	No	No	NA	NA	100
57a9f41a16a091000112f1cf	slash	53.75	65	90.625	51.5625	90.625	84.375	21.875	9.375	383	429	2000	2000	984	1619.741	0	1	0	0	6	6	54	43	23	83.33	80.83	11.34020618556701	-25	-12.5	-12.5	-12.5	-62.5	23	US	Male	16	White	No	No	NA	NA	-100
57bf2f693aa21900017f7ae6	slash	87.5	95	75	95.3125	100	87.5	96.875	96.875	825	862	861	850.5	848.5	702	0	0	0	0	6	6	98	9	13	100	89.17	83.17757009345794	25	25	25	25	100	39	US	Male	12	White	No	No	NA	NA	100
57c2f3ed0c656b00019c5988	z	91.25	91.25	81.25	93.75	100	84.375	93.75	96.875	669	1055.5	672	695	721.5	1378.415	0	0	0	0	6	6	54	50	16	91.67	86.67	3.8461538461538463	25	25	25	25	100	35	US	Female	16	Black or African American	No	No	NA	NA	100
57c4761195a3ea00016e5992	z	93.75	92.5	84.375	95.3125	96.875	93.75	93.75	96.875	399.5	475	501	486	482.5	1562.248	0	0	0	0	6	6	62	29	29	91.67	75.83	36.26373626373626	-25	25	-25	-25	-50	26	UK	Female	18	Asian	No	No	NA	NA	100
57dab7f721d77800018e42fe	slash	98.75	96.25	96.875	97.65625	100	93.75	96.875	100	434	452	480.5	457.5	454	657.76	0	0	0	0	6	6	58	45	17	100	85.83	12.62135922330097	-25	0	-25	-25	-75	28	US	Male	14	Multiple	No	No	NA	NA	-100
57dd3b0e91b7fc0001493db9	z	96.25	95	84.375	98.4375	100	93.75	100	100	548.5	526	608.5	537.5	563	743.724	0	0	0	0	0	6	63	34	23	95.83	80.83	29.896907216494846	-25	25	-12.5	-12.5	-25	34	UK	Male	12	White	No	No	NA	NA	100
57ee8eb1e62704000199d5ae	z	20	68.75	81.25	35.15625	43.75	31.25	31.25	34.375	2000	2000	2000	2000	2000	1464.286	0	1	0	1	6	6	62	28	30	95.83	75	37.77777777777778	25	25	25	12.5	87.5	37	UK	Female	12	White	No	No	NA	NA	100
58061b34c7b1100001138a1e	slash	95	97.5	93.75	96.875	96.875	93.75	96.875	100	878.5	977.5	921	885	907.5	1121.143	0	0	0	0	6	6	72	30	18	100	85	41.17647058823529	-12.5	-12.5	-12.5	-12.5	-50	32	UK	Male	16	White	No	No	NA	NA	100
5809006b2a296e0001005451	slash	93.75	93.75	84.375	96.09375	96.875	96.875	93.75	96.875	735.5	667	703	765.5	711	709.472	0	0	0	0	1	5	0	119	1	100	99.17	-100	25	25	25	25	100	37	US	Female	14	White	No	No	NA	NA	100
5862a405d22a5800014c4c27	slash	93.75	93.75	81.25	96.875	96.875	90.625	100	100	552	546.5	478.5	531	518.5	550.387	0	0	0	0	5	6	55	38	27	91.67	77.5	18.27956989247312	12.5	-12.5	0	0	0	25	UK	Male	16	Asian	No	No	NA	NA	-50
58635484a73baa00010db537	z	85	87.5	68.75	90.625	93.75	100	87.5	81.25	545	769	691	786	663	1343.648	0	0	0	0	5	6	39	63	18	87.5	85	-23.52941176470588	25	25	25	25	100	37	US	Female	12	White	No	No	NA	NA	100
5870f3b92bd3c90001859a3d	slash	93.75	92.5	75	97.65625	100	96.875	100	93.75	428.5	481.5	451	441	452	660.948	0	0	0	0	6	6	66	30	24	100	80	37.5	25	25	-12.5	25	62.5	29	UK	Female	16	White	Yes	No	NA	NA	100
587674406e2f8d00015c6148	z	95	97.5	90.625	97.65625	100	96.875	96.875	96.875	403	432	539	462	460	649.003	0	0	0	0	6	6	48	50	22	91.67	81.67	-2.0408163265306123	25	25	25	25	100	32	US	Male	16	White	No	No	NA	NA	100
588093c6704f1100014a3d01	z	86.25	83.75	71.875	88.28125	93.75	87.5	81.25	90.625	829.5	909.5	1110	946.5	934.5	3693.485	0	0	0	0	6	6	47	30	43	91.67	64.17	22.07792207792208	-25	25	0	-12.5	-12.5	35	UK	Female	16	White	No	No	NA	NA	100
589ce4d65e63bf00013b3175	z	98.75	92.5	84.375	98.4375	100	96.875	96.875	100	607.5	639.5	658	625.5	630	583.762	0	0	0	0	6	6	79	25	16	100	86.67	51.92307692307693	25	12.5	25	25	87.5	28	US	Female	12	White	No	No	NA	NA	100
589cf2a3f6cc2100012af256	slash	93.75	97.5	78.125	100	100	100	100	100	750	758.5	795	793.5	769	1110.686	0	0	0	0	6	6	89	18	13	100	89.17	66.35514018691589	-12.5	-12.5	-25	-25	-75	34	UK	Male	18	White	No	No	NA	NA	100
58a63a64ea3d11000170e1cc	slash	85	86.25	96.875	82.8125	93.75	96.875	53.125	87.5	822	689.5	997.5	855	843.5	726.071	0	0	0	0	6	6	58	40	22	83.33	81.67	18.367346938775512	25	25	25	25	100	35	US	Male	12	White	No	No	NA	NA	100
58bfee7de5869400018f5e9e	z	93.75	91.25	90.625	92.96875	96.875	100	100	75	761.5	732	766	929.5	772.5	1191.897	0	0	0	0	5	6	43	51	26	87.5	78.33	-8.51063829787234	-25	-25	25	-25	-50	37	UK	Male	16	White	No	No	NA	NA	-100
58d954ec58d78900016eaf6d	slash	90	91.25	65.625	96.875	100	90.625	96.875	100	661.5	749.5	686.5	694	696.5	667.719	0	0	0	0	0	3	61	53	6	100	95	7.017543859649122	-25	-25	-25	-25	-100	28	UK	Female	12	White	No	No	NA	NA	-50
58ed2be2a083320001a13783	slash	88.75	98.75	100	92.1875	100	100	75	93.75	927	926	1137.5	1115.5	985.5	849.345	0	0	0	0	6	6	36	65	19	100	84.17	-28.71287128712871	25	25	25	12.5	87.5	38	US	Female	12	White	No	No	NA	NA	100
58eec4b09fbdde00011e95b0	slash	93.75	98.75	81.25	100	100	100	100	100	426	501.5	507	479	483.5	1282.447	0	0	0	0	5	4	38	56	26	100	78.33	-19.148936170212767	-25	-25	-25	-25	-100	33	US	Male	18	Multiple	No	No	NA	NA	100
58f3913fcb9e9600013ca530	z	93.75	93.75	90.625	94.53125	96.875	90.625	96.875	93.75	733.5	700.5	655.5	743	700.5	960.079	0	0	0	0	6	6	49	49	22	87.5	81.67	0	-25	-25	-25	-25	-100	37	UK	Female	14	White	No	No	NA	NA	-100
590208c89571f50001c666e3	z	95	96.25	90.625	96.875	100	100	90.625	96.875	750.5	698.5	689	695	701	774.276	0	0	0	0	6	6	52	61	7	91.67	94.17	-7.964601769911504	25	25	25	25	100	35	US	Male	16	White	No	No	NA	NA	100
59175c2896ffb800017c4caf	z	92.5	82.5	78.125	89.84375	93.75	100	75	90.625	591	598.5	723.5	690	646.5	967.984	0	0	0	0	0	6	27	63	30	95.83	75	-40	-25	-25	-25	-25	-100	36	UK	Female	21	White	No	No	NA	NA	-100
592bb32c943e670001cde123	slash	61.25000000000001	65	81.25	58.59375	100	96.875	9.375	28.125	862.5	805	2000	2000	1080	1766.594	0	0	0	0	6	6	78	21	21	100	82.5	57.57575757575758	25	25	25	25	100	38	US	Male	16	White	No	No	NA	NA	100
594425f07ccfd00001d3f462	slash	92.5	98.75	87.5	97.65625	100	100	90.625	100	739.5	716	838.5	734.5	740	586.873	0	0	0	0	5	6	63	27	30	91.67	75	40	-25	25	25	12.5	37.5	27	US	Male	16	Black or African American	No	No	NA	NA	100
59451bd536b8f40001de0a83	z	93.75	96.25	90.625	96.09375	100	96.875	96.875	90.625	774.5	801	778	853.5	800.5	717.997	0	0	0	0	6	6	83	26	11	100	90.83	52.293577981651374	-25	12.5	-25	-25	-62.5	39	UK	Female	14	Multiple	No	Yes	NA	NA	100
594ec90eca6e670001b2c184	z	100	96.25	100	97.65625	100	100	90.625	100	868.5	855.5	879.5	788.5	850	1065.813	0	0	0	0	6	6	58	38	24	95.83	80	20.833333333333336	25	25	25	25	100	29	US	Male	16	White	No	No	NA	NA	100
59528796a186be000114dc32	slash	86.25	88.75	53.125	96.09375	100	96.875	90.625	96.875	745	731.5	817.5	712	741	703.005	0	0	0	0	0	3	53	62	5	100	95.83	-7.82608695652174	25	12.5	12.5	0	50	28	US	Male	16	White	No	No	NA	NA	50
596f8a83c988c000015bf765	z	83.75	90	46.875	96.875	93.75	96.875	100	96.875	387.5	381.5	443.5	508.5	432.5	765.419	0	0	0	0	6	6	63	39	18	100	85	23.52941176470588	-25	-12.5	-12.5	12.5	-37.5	38	UK	Female	12	White	No	No	NA	NA	50
5971cee2f4058000011deea6	slash	91.25	93.75	87.5	93.75	96.875	93.75	93.75	90.625	741	791.5	846.5	897	823	1737.577	0	0	0	0	6	6	63	36	21	100	82.5	27.27272727272727	-25	-25	-25	-25	-100	35	UK	Female	16	White	No	No	NA	NA	-100
597e1b3f9d51240001f1f71d	z	95	88.75	75	96.09375	90.625	96.875	96.875	100	814	822.5	785.5	794.5	811	1388.651	0	0	0	0	6	6	92	16	12	100	90	70.37037037037037	-25	-25	-25	-25	-100	37	UK	Female	16	White	No	No	NA	NA	100
598aee4fe65fa90001580921	z	81.25	77.5	71.875	81.25	100	96.875	62.5	65.625	485	540	948.5	663	608	1440.559	0	0	0	0	2	6	52	58	10	95.83	91.67	-5.454545454545454	-25	-12.5	12.5	-25	-50	40	UK	Female	21	White	No	No	NA	NA	-100
599e74eeb4e8c80001d1147e	slash	87.5	85	71.875	89.84375	100	100	68.75	90.625	453.5	489.5	848.5	684.5	600.5	1329.143	0	0	0	0	6	3	1	115	4	100	96.67	-98.27586206896551	-25	-25	-25	-25	-100	37	UK	Female	12	White	No	No	NA	NA	50
59aae1188cef7d00011f8884	slash	100	98.75	100	99.21875	96.875	100	100	100	607	635	622.5	608.5	616	703.786	0	0	0	0	6	6	70	36	14	100	88.33	32.075471698113205	25	25	25	25	100	30	US	Female	14	Asian	No	No	NA	NA	100
59c3eeac05da9d0001402bcd	z	80	70	71.875	75.78125	65.625	43.75	100	93.75	680	2000	461.5	489	530.5	1402.502	0	0	0	0	6	6	61	47	12	100	90	12.962962962962962	-25	0	0	0	-25	36	US	Female	14	White	No	Not sure (please explain):	i may have but its been a very long time and it wasnt exactly like this but i have done inquisit before	NA	0
59c4f0a2916c4d000109428a	z	80	78.75	0	99.21875	100	96.875	100	100	443.5	424.5	462.5	397	436.5	1524.414	1	0	0	0	0	6	50	34	36	79.17	70	19.047619047619047	-25	-25	0	-25	-75	40	UK	Male	12	White	No	No	NA	NA	0
59d6c032ea41450001ec76c9	slash	95	97.5	93.75	96.875	100	96.875	93.75	96.875	803	785.5	841	812.5	819	640.217	0	0	0	0	6	6	71	27	22	100	81.67	44.89795918367347	25	12.5	25	25	87.5	27	US	Male	12	White	No	No	NA	NA	100
59d9d9cd8fd07a0001842484	slash	87.5	91.25	71.875	93.75	96.875	96.875	84.375	96.875	821	848.5	948	830.5	857.5	1277.226	0	0	0	0	6	6	48	41	31	100	74.17	7.865168539325842	25	25	12.5	12.5	75	29	US	Male	12	White	Yes	No	NA	NA	100
59dc458f77860e000151240e	slash	95	96.25	87.5	97.65625	100	100	90.625	100	717.5	725.5	739.5	712.5	725.5	1172.062	0	0	0	0	6	6	73	28	19	91.67	84.17	44.554455445544555	25	12.5	25	0	62.5	40	US	Male	12	Multiple	No	No	NA	NA	100
59e27cc0c0d35a0001294e6b	slash	91.25	97.5	81.25	97.65625	96.875	93.75	100	100	988.5	1009.5	1012.5	994.5	998.5	1079.849	0	0	0	0	6	6	68	31	21	95.83	82.5	37.37373737373738	-25	25	25	25	50	30	UK	Male	18	White	No	No	NA	NA	100
59e6f84616ecc200016ff141	z	81.25	80	40.625	90.625	75	93.75	100	93.75	626	598	521.5	625	568	773.082	0	0	0	0	1	6	61	45	14	100	88.33	15.09433962264151	-25	-25	-25	-25	-100	33	UK	Female	16	White	No	No	NA	No thank you	-100
59f78f90a764fc000135f6e6	z	93.75	91.25	78.125	96.09375	100	96.875	87.5	100	458	399.5	559	491	491.5	527.534	0	0	0	0	6	6	77	22	21	100	82.5	55.55555555555556	25	25	25	25	100	37	US	Female	18	Multiple	No	No	NA	NA	100
59ff81fd5d06850001afeeab	slash	91.25	93.75	96.875	91.40625	100	93.75	78.125	93.75	530.5	569.5	739	573.5	579	2624.619	0	0	0	0	5	6	80	14	26	91.67	78.33	70.2127659574468	25	25	25	25	100	28	US	Male	12	Black or African American	No	No	NA	NA	100
5a198755f2e3460001edc5c9	z	96.25	93.75	96.875	94.53125	100	100	78.125	100	985	985	1032.5	975.5	992.5	1061.141	0	0	0	0	6	6	60	36	24	83.33	80	25	25	25	25	25	100	34	US	Male	12	White	No	No	NA	NA	100
