subject	headphonecheck_nCorrect	stereocheck_nCorrect	DL_right	DL_left	DL_other	DL_monoPctCorrect	DL_dualPctCorrect	DL_lat
5717864c94d4fc001297198d	6	6	25	67	28	91.67	76.67	-45.65217391304348
571f543bf6d15a0013df11e1	2	3	66	31	23	100	80.83	36.08247422680412
572bcf0d34b25a000edd2cf1	4	6	78	28	14	95.83	88.33	47.16981132075472
572f8258ad13160010008a61	6	6	75	37	8	95.83	93.33	33.92857142857143
5732a7595bb657000f727f02	5	6	90	16	14	95.83	88.33	69.81132075471697
5766d2f7fdff7a0001c1285b	4	6	69	26	25	95.83	79.17	45.26315789473684
576745749dcd970001dbdd0b	6	6	54	52	14	54.17	88.33	1.8867924528301887
57739704c1b42d0001a58ae6	6	6	49	56	15	100	87.5	-6.666666666666667
577d1216b425c40001434b2f	6	6	55	55	10	100	91.67	0
577d6a6c160201000103d7fc	5	6	66	42	12	100	90	22.22222222222222
578b5756160201000103fe40	5	6	61	57	2	100	98.33	3.389830508474576
579f1d3bc9abeb0001af52d8	6	6	69	32	19	100	84.17	36.633663366336634
57a5c633275be6000135b61c	6	6	14	90	16	95.83	86.67	-73.07692307692307
57a9f41a16a091000112f1cf	6	6	54	43	23	83.33	80.83	11.34020618556701
57bf2f693aa21900017f7ae6	6	6	98	9	13	100	89.17	83.17757009345794
57c2f3ed0c656b00019c5988	6	6	54	50	16	91.67	86.67	3.8461538461538463
57c4761195a3ea00016e5992	6	6	62	29	29	91.67	75.83	36.26373626373626
57dab7f721d77800018e42fe	6	6	58	45	17	100	85.83	12.62135922330097
57dd3b0e91b7fc0001493db9	0	6	63	34	23	95.83	80.83	29.896907216494846
57ee8eb1e62704000199d5ae	6	6	62	28	30	95.83	75	37.77777777777778
58061b34c7b1100001138a1e	6	6	72	30	18	100	85	41.17647058823529
5809006b2a296e0001005451	1	5	0	119	1	100	99.17	-100
5862a405d22a5800014c4c27	5	6	55	38	27	91.67	77.5	18.27956989247312
58635484a73baa00010db537	5	6	39	63	18	87.5	85	-23.52941176470588
5870f3b92bd3c90001859a3d	6	6	66	30	24	100	80	37.5
587674406e2f8d00015c6148	6	6	48	50	22	91.67	81.67	-2.0408163265306123
588093c6704f1100014a3d01	6	6	47	30	43	91.67	64.17	22.07792207792208
589ce4d65e63bf00013b3175	6	6	79	25	16	100	86.67	51.92307692307693
589cf2a3f6cc2100012af256	6	6	89	18	13	100	89.17	66.35514018691589
58a63a64ea3d11000170e1cc	6	6	58	40	22	83.33	81.67	18.367346938775512
58bfee7de5869400018f5e9e	5	6	43	51	26	87.5	78.33	-8.51063829787234
58d954ec58d78900016eaf6d	0	3	61	53	6	100	95	7.017543859649122
58ed2be2a083320001a13783	6	6	36	65	19	100	84.17	-28.71287128712871
58eec4b09fbdde00011e95b0	5	4	38	56	26	100	78.33	-19.148936170212767
58f3913fcb9e9600013ca530	6	6	49	49	22	87.5	81.67	0
590208c89571f50001c666e3	6	6	52	61	7	91.67	94.17	-7.964601769911504
59098fbcc3338c000105a042	6	6	63	18	39	91.67	67.5	55.55555555555556
59175c2896ffb800017c4caf	0	6	27	63	30	95.83	75	-40
592bb32c943e670001cde123	6	6	78	21	21	100	82.5	57.57575757575758
594425f07ccfd00001d3f462	5	6	63	27	30	91.67	75	40
59451bd536b8f40001de0a83	6	6	83	26	11	100	90.83	52.293577981651374
594ec90eca6e670001b2c184	6	6	58	38	24	95.83	80	20.833333333333336
59528796a186be000114dc32	0	3	53	62	5	100	95.83	-7.82608695652174
596f8a83c988c000015bf765	6	6	63	39	18	100	85	23.52941176470588
5971cee2f4058000011deea6	6	6	63	36	21	100	82.5	27.27272727272727
597e1b3f9d51240001f1f71d	6	6	92	16	12	100	90	70.37037037037037
598aee4fe65fa90001580921	2	6	52	58	10	95.83	91.67	-5.454545454545454
599e74eeb4e8c80001d1147e	6	3	1	115	4	100	96.67	-98.27586206896551
59aae1188cef7d00011f8884	6	6	70	36	14	100	88.33	32.075471698113205
59c3eeac05da9d0001402bcd	6	6	61	47	12	100	90	12.962962962962962
59c4f0a2916c4d000109428a	0	6	50	34	36	79.17	70	19.047619047619047
59d6c032ea41450001ec76c9	6	6	71	27	22	100	81.67	44.89795918367347
59d9d9cd8fd07a0001842484	6	6	48	41	31	100	74.17	7.865168539325842
59dc458f77860e000151240e	6	6	73	28	19	91.67	84.17	44.554455445544555
59e27cc0c0d35a0001294e6b	6	6	68	31	21	95.83	82.5	37.37373737373738
59e6f84616ecc200016ff141	1	6	61	45	14	100	88.33	15.09433962264151
59f78f90a764fc000135f6e6	6	6	77	22	21	100	82.5	55.55555555555556
59ff81fd5d06850001afeeab	5	6	80	14	26	91.67	78.33	70.2127659574468
5a198755f2e3460001edc5c9	6	6	60	36	24	83.33	80	25
5a270517b4a5de00011af15c	5	6	60	46	14	100	88.33	13.20754716981132
5a2adf6a8e00a000019864fb	0	6	52	49	19	100	84.17	2.9702970297029703
5a3bdd2c8d005a0001829f3e	6	6	41	32	47	83.33	60.83	12.32876712328767
5a47b7be2f91ec0001dcbfee	2	6	85	27	8	100	93.33	51.78571428571429
5a639a04c0d836000107b977	4	6	44	51	25	95.83	79.17	-7.368421052631578
5a6f1ccade1f390001dbd8b7	6	6	44	62	14	79.17	88.33	-16.9811320754717
5a6fd0626923df0001ef977b	6	6	57	34	29	100	75.83	25.274725274725274
5a7dc159000dab00018c5a06	6	6	70	35	15	100	87.5	33.33333333333333
5a804807000dab00018c6e5a	0	6	52	57	11	91.67	90.83	-4.587155963302752
5a8b3fa3b093f80001a80576	5	1	1	114	5	95.83	95.83	-98.26086956521739
5a8d8079190420000156435d	6	6	76	32	12	91.67	90	40.74074074074074
5a8f3dd5eea3d300016ece86	6	6	84	20	16	100	86.67	61.53846153846154
5a9f9e14b5e2110001c6f6f5	2	1	56	55	9	100	92.5	0.9009009009009009
5aac21406be3fa00013a2a51	6	6	50	54	16	100	86.67	-3.8461538461538463
5ab10212fb22320001bacdfe	2	6	45	55	20	100	83.33	-10
5ab65c67f69e940001d8e06c	4	6	14	93	13	91.67	89.17	-73.83177570093457
5abd5f3b5cd105000161f167	6	6	67	38	15	100	87.5	27.61904761904762
5aca34565cd1050001626480	6	6	60	36	24	95.83	80	25
5acf8cd5a010190001b34afa	2	6	115	0	5	95.83	95.83	100
5ad0c55ad9f7470001db0e09	6	6	56	43	21	91.67	82.5	13.131313131313133
5ad0c8fd4d061300011b07e4	5	6	63	24	33	91.67	72.5	44.827586206896555
5ad57f5c27c301000101d9c5	6	6	45	59	16	95.83	86.67	-13.461538461538462
5ad59462045cb000015c9960	6	6	50	49	21	100	82.5	1.0101010101010102
5ad5efefe2338200017798d4	5	6	70	25	25	95.83	79.17	47.368421052631575
5ae2b45afef71c0001bea628	6	6	60	41	19	100	84.17	18.81188118811881
5aeb063b2f05b500013028a0	6	6	83	22	15	100	87.5	58.0952380952381
5aed87e375deca0001627011	6	6	69	35	16	100	86.67	32.69230769230769
5af2f6c0c36b060001f80163	6	6	47	41	32	95.83	73.33	6.8181818181818175
5af59378f856320001cf2ffc	6	6	0	118	2	95.83	98.33	-100
5af5e288e19f8c00019e3d09	6	6	47	65	8	95.83	93.33	-16.071428571428573
5afb134c57516b0001416b48	2	6	31	28	61	62.5	49.17	5.084745762711865
5b12b275e9270900013c3e01	6	6	47	63	10	100	91.67	-14.545454545454545
5b2aac848580750001aa0b64	5	6	72	20	28	100	76.67	56.52173913043478
5b393581c49ecb00010a6693	6	6	14	97	9	95.83	92.5	-74.77477477477478
5b421b9ac2e3810001763252	5	6	47	38	35	87.5	70.83	10.588235294117647
5b4915add4c93b00019beed6	6	2	103	0	17	91.67	85.83	100
5b494218ff7497000125219a	1	5	48	54	18	91.67	85	-5.88235294117647
5b50d6214e2d6800010b6092	6	6	56	50	14	100	88.33	5.660377358490567
5b575da5f633200001232769	0	6	41	44	35	83.33	70.83	-3.5294117647058822
5b59862535af16000164960a	6	6	57	48	15	91.67	87.5	8.571428571428571
5b5cff1c9351420001b78419	6	6	51	38	31	79.17	74.17	14.606741573033707
5b6515e83662a8000158b2aa	6	6	67	31	22	100	81.67	36.734693877551024
5b6c312fa1fda800015fe165	6	6	60	32	28	95.83	76.67	30.434782608695656
5b6c72f29dc5550001f8a514	0	6	83	16	21	95.83	82.5	67.67676767676768
5b6cf2c61b61b60001bc0678	6	6	64	33	23	100	80.83	31.958762886597935
5b72d1b972a6fc0001b2abc2	6	6	42	72	6	100	95	-26.31578947368421
5b7ba10e4ba9cd0001e66fb4	6	6	63	40	17	100	85.83	22.330097087378643
5b7ecfe47a63030001019c35	5	6	56	18	46	70.83	61.67	51.35135135135135
5b82e33f184f45000155f0ba	3	6	52	51	17	100	85.83	0.9708737864077669
5b87cdc34dc3210001904196	5	6	52	50	18	95.83	85	1.9607843137254901
5b87dd09019cf60001a115b3	0	6	59	39	22	100	81.67	20.408163265306122
5b8c7161284d9b00019dee13	0	6	55	48	17	100	85.83	6.796116504854369
5b8e11444cd6dd0001bf07d9	6	6	79	26	15	95.83	87.5	50.476190476190474
5b920a69abfadc0001e7ffa9	6	6	53	45	22	100	81.67	8.16326530612245
5b9754dce1adf100014ac3d1	6	6	43	58	19	100	84.17	-14.85148514851485
5b985404a15058000124e508	0	6	44	62	14	100	88.33	-16.9811320754717
5b9aa47491b20a0001176287	1	6	43	49	28	100	76.67	-6.521739130434782
5ba3223a68b542000112c1b6	6	6	52	43	25	100	79.17	9.473684210526317
5ba6d507cf54e40001c45aaf	5	0	48	47	25	95.83	79.17	1.0526315789473684
5ba849b3a2a1ae0001f08d2d	6	6	47	49	24	95.83	80	-2.083333333333333
5baa7acf14779d0001a23968	0	6	61	49	10	100	91.67	10.909090909090908
5bace423b95cc700014b5334	6	6	46	57	17	100	85.83	-10.679611650485436
5bad4be8b712f30001b87947	6	6	87	15	18	79.17	85	70.58823529411765
5bad4db8b712f30001b87990	6	6	74	33	13	100	89.17	38.31775700934579
5bb0f624a1c73d0001b9d62d	5	6	89	25	6	100	95	56.14035087719298
5bb0f83f71e1b2000176c35b	5	6	47	53	20	83.33	83.33	-6
5bb535574cb73b00011437d0	5	6	38	34	48	70.83	60	5.555555555555555
5bbc18010cb04c00015025ce	6	6	60	35	25	100	79.17	26.31578947368421
5bbd2bdcf7358a000171636f	6	6	82	19	19	95.83	84.17	62.37623762376238
5bc10133904b2f000194b264	6	6	88	17	15	100	87.5	67.61904761904762
5bc9ed7f3d893f0001bee4b6	6	6	84	21	15	95.83	87.5	60
5bdc4a3b0f86a60001be614a	6	6	56	46	18	95.83	85	9.803921568627452
5bdfb648484288000130dad0	0	6	44	52	24	83.33	80	-8.333333333333332
5be08379a34306000165f14c	6	6	77	30	13	100	89.17	43.925233644859816
5be12624b08fb60001f5680a	5	6	63	28	29	100	75.83	38.46153846153847
5bea1d914e38ca00014b399e	5	6	81	25	14	100	88.33	52.83018867924528
5bead56b5324b10001c2551c	6	6	65	36	19	100	84.17	28.71287128712871
5bebbb9694bff800011dc37c	6	0	19	81	20	100	83.33	-62
5beccd423b6489000156596f	6	6	54	46	20	100	83.33	8
5befb6e27c387400016983bf	6	6	71	15	34	83.33	71.67	65.11627906976744
5bf19d37e657aa0001a2314a	4	6	18	91	11	91.67	90.83	-66.97247706422019
5bfd8910eed5280001ead1dd	6	6	47	45	28	83.33	76.67	2.1739130434782608
5c0004a72340e10001bfc3a0	6	6	42	61	17	91.67	85.83	-18.446601941747574
5c024be169406e00014e0b8e	6	6	70	37	13	95.83	89.17	30.8411214953271
5c0586b43199f4000153f133	5	6	49	48	23	95.83	80.83	1.0309278350515463
5c05c77f24419e0001a3094f	6	6	38	72	10	100	91.67	-30.909090909090907
5c086d3d3be61100011a694d	6	6	19	92	9	100	92.5	-65.76576576576578
5c0c28915b32d500012eef60	5	6	35	72	13	83.33	89.17	-34.57943925233645
5c0e80423a0b8e000183089b	6	6	39	64	17	95.83	85.83	-24.271844660194176
5c11f8202b16ba0001c8b764	6	6	65	30	25	95.83	79.17	36.84210526315789
5c190c311e18d10001eca667	6	6	42	43	35	100	70.83	-1.1764705882352942
5c2477b010677f0001db2661	5	6	69	30	21	100	82.5	39.39393939393939
5c28884289f035000174bfbe	6	6	24	77	19	100	84.17	-52.475247524752476
5c28c65636efd800010f30fb	5	6	47	45	28	100	76.67	2.1739130434782608
5c2c189b867f660001af5dc5	6	6	56	49	15	100	87.5	6.666666666666667
5c2dae2110677f0001dd1137	6	6	46	57	17	91.67	85.83	-10.679611650485436
5c2e33e751dcf20001b3204d	6	6	50	44	26	100	78.33	6.382978723404255
5c37aa8b832a8400010983b3	6	6	75	26	19	100	84.17	48.51485148514851
5c395df5f5ebd50001850900	4	6	8	78	34	66.67	71.67	-81.3953488372093
5c3dfadfef1d0d0001b2870e	6	6	61	39	20	95.83	83.33	22
5c3e80671580e9000122d168	1	6	95	4	21	83.33	82.5	91.91919191919192
5c4db2cd430fb000014d1448	6	6	85	29	6	100	95	49.122807017543856
5c4e5f2ae5f00f0001542748	3	0	38	59	23	83.33	80.83	-21.649484536082475
5c50046b2b89f500015e5f6b	6	6	60	38	22	95.83	81.67	22.448979591836736
5c560b6fccb08c0001e134a8	3	6	45	50	25	83.33	79.17	-5.263157894736842
5c56964991c0ad0001cfa5ae	6	6	59	36	25	87.5	79.17	24.210526315789473
5c574d3f53fba80001bd302e	6	3	1	119	0	100	100	-98.33333333333333
5c588d147831040001973ab3	2	4	21	97	2	100	98.33	-64.40677966101694
5c59f7cb4eea0b00017c9317	5	6	66	31	23	100	80.83	36.08247422680412
5c5cb3bf6a946500015a3411	4	6	27	60	33	100	72.5	-37.93103448275862
5c5ff87f8c0552000109d7de	6	6	82	16	22	91.67	81.67	67.3469387755102
5c62fbd932207f00016bd19e	6	6	58	36	26	91.67	78.33	23.404255319148938
5c6325a730ccf800019350c6	6	6	64	38	18	91.67	85	25.49019607843137
5c663cd56fdc87000162e255	6	6	58	38	24	95.83	80	20.833333333333336
5c6838ea5f8d580001e8a8ab	6	6	51	36	33	95.83	72.5	17.24137931034483
5c6849dc5b27b00001a340f5	1	6	47	63	10	100	91.67	-14.545454545454545
5c69bdaf81ea8900018aeccd	6	6	88	15	17	100	85.83	70.87378640776699
5c6ddaefdf677d00013fa313	1	6	51	56	13	100	89.17	-4.672897196261682
5c707693db12e3000146b16d	6	6	81	27	12	100	90	50
5c742339e621f900163f4543	6	6	47	64	9	95.83	92.5	-15.315315315315313
5c778f10848d2a0016b3c65d	6	6	95	10	15	91.67	87.5	80.95238095238095
5c799405e62652001656f06f	2	6	45	59	16	95.83	86.67	-13.461538461538462
5c7cf8b58ca9000001b52f6e	0	6	57	26	37	100	69.17	37.34939759036144
5c82c9a4d8302a00010639b8	6	6	84	17	19	95.83	84.17	66.33663366336634
5c858ca8eceaa40001d3f488	6	6	60	46	14	100	88.33	13.20754716981132
5c8d2f74e775150016db3700	1	6	63	40	17	91.67	85.83	22.330097087378643
5c8f9fa8dfbf30001697845d	4	6	31	79	10	100	91.67	-43.63636363636363
5c92aa671ce0cd00128c6c86	6	6	54	55	11	95.83	90.83	-0.9174311926605505
5c993969c6d15000019bbc4f	6	6	57	38	25	100	79.17	20
5c9b3126a586fd00154d5440	6	6	55	40	25	95.83	79.17	15.789473684210526
5c9d88bb2b3c77001744ec1c	2	6	32	33	55	54.17	54.17	-1.5384615384615385
5ca3ccae7958d0001689df68	6	6	76	19	25	91.67	79.17	60
5caba2588d77140014bac508	6	6	55	37	28	79.17	76.67	19.565217391304348
5cadcbd3cdf3eb00136336a4	6	6	54	37	29	83.33	75.83	18.681318681318682
5cb489ff0cd1ed0017465d19	6	6	50	58	12	100	90	-7.4074074074074066
5cb50cffce95710018cc9c9e	5	6	80	24	16	100	86.67	53.84615384615385
5cbc345609683c00017c878a	6	6	74	19	27	95.83	77.5	59.13978494623656
5cbe04b4f429ff00159de30e	6	6	65	31	24	100	80	35.41666666666667
5cbe2edd577eb000184124b9	1	6	47	53	20	95.83	83.33	-6
5cc369725986a4001b4e9041	6	5	54	38	28	91.67	76.67	17.391304347826086
5cc48c234bb96d00018a8bfe	5	5	51	36	33	91.67	72.5	17.24137931034483
5cc4969c3b1b1c0018f9da36	6	6	42	53	25	95.83	79.17	-11.578947368421053
5cc8039e3ef93000171c96b8	6	6	16	93	11	100	90.83	-70.64220183486239
5cc93ce7627fc30013fc22aa	0	6	14	100	6	95.83	95	-75.43859649122807
5cdfb7d5ed552600019dc9f3	0	6	46	35	39	79.17	67.5	13.580246913580247
5cec60a0de266200191eb2c9	0	6	64	29	27	75	77.5	37.634408602150536
5cef892f0c5fb30018fbdfbe	6	6	22	89	9	95.83	92.5	-60.36036036036037
5cf510ccb0bafb00161ffd56	6	3	95	7	18	100	85	86.27450980392157
5d013b6597491100014a4fca	5	6	53	45	22	95.83	81.67	8.16326530612245
5d02e8a7c087120001942ae7	6	6	12	96	12	95.83	90	-77.77777777777779
5d09895e65eb3400189cc207	6	6	65	30	25	83.33	79.17	36.84210526315789
5d09d2a3fcc453001981ee4e	6	5	48	56	16	100	86.67	-7.6923076923076925
5d0a831fac01cb001c691cb1	3	6	66	47	7	95.83	94.17	16.8141592920354
5d0bff3d9599aa001a256b15	6	6	38	45	37	83.33	69.17	-8.433734939759036
5d1426c8efc9c20001495f2f	6	6	52	44	24	95.83	80	8.333333333333332
5d15fedfa8eae10015738ed7	4	6	54	55	11	87.5	90.83	-0.9174311926605505
5d1652ba768bdf000154e37d	3	6	55	37	28	95.83	76.67	19.565217391304348
5d166f8340218700169a0814	6	6	53	35	32	87.5	73.33	20.454545454545457
5d171334b49a4a0001e8aca4	6	6	47	61	12	100	90	-12.962962962962962
5d17c7644700940015463ef1	0	5	56	53	11	95.83	90.83	2.7522935779816518
5d17ce93ac37cd0019535088	6	6	51	46	23	95.83	80.83	5.154639175257731
5d19281012e152001920227f	6	6	42	25	53	83.33	55.83	25.37313432835821
5d1a21a834dc47000196b3fd	6	5	76	25	19	100	84.17	50.495049504950494
5d1c92bc5f54410001ef8f0c	6	6	61	30	29	91.67	75.83	34.065934065934066
5d206e075278fa001848134d	6	6	61	34	25	100	79.17	28.421052631578945
5d278e6a6f7c660019b56196	2	6	78	18	24	95.83	80	62.5
5d29187bd96c80001769ec41	6	6	71	31	18	95.83	85	39.21568627450981
5d2de4db914b6e001877da8f	6	6	56	47	17	95.83	85.83	8.737864077669903
5d2f7fb4bb27200019010768	4	6	38	60	22	95.83	81.67	-22.448979591836736
5d30752a0334500019f10720	6	6	65	34	21	95.83	82.5	31.313131313131315
5d30ec10a5c3c900194c5d12	5	6	69	20	31	91.67	74.17	55.0561797752809
5d3afd98bea4e90019c67c9f	0	2	47	44	29	95.83	75.83	3.296703296703297
5d4254db5b2c430001418a3c	6	6	36	39	45	70.83	62.5	-4
5d432a9dfc19f8001a2964e7	6	6	80	21	19	95.83	84.17	58.415841584158414
5d46daa91274770001916403	4	6	55	59	6	100	95	-3.508771929824561
5d4a36e8a61675000169036f	6	6	56	45	19	100	84.17	10.891089108910892
5d4a41890e604c00011ade8b	6	6	83	17	20	95.83	83.33	66
5d4c394a090b51001a1775fe	6	6	85	15	20	100	83.33	70
5d4ca16427393e0001161cb2	0	3	36	60	24	100	80	-25
5d55d562e04e1c0001f5e682	6	6	64	34	22	100	81.67	30.612244897959183
5d59b01348766d0016949e6a	6	6	66	37	17	100	85.83	28.155339805825243
5d5d13312a28f400015a5b6f	3	6	34	33	53	79.17	55.83	1.4925373134328357
5d5d6e95909e4c0001b12fe8	6	6	56	44	20	100	83.33	12
5d5e39bd7427d30001d610ba	6	6	48	57	15	100	87.5	-8.571428571428571
5d5e4baff521f100166c5d3a	5	6	26	79	15	83.33	87.5	-50.476190476190474
5d612ae16512d700159face7	6	5	111	0	9	95.83	92.5	100
5d62886927a84f00010fbbb4	0	6	52	49	19	100	84.17	2.9702970297029703
5d6472c63ca9fc00153d2ba4	5	6	48	29	43	87.5	64.17	24.675324675324674
5d66b39acb411d00170f69d6	0	6	65	33	22	100	81.67	32.6530612244898
5d6ab68809f9270001dac666	6	6	32	72	16	100	86.67	-38.46153846153847
5d6eb94fb861b60001e7760c	6	6	53	43	24	100	80	10.416666666666668
5d728c6f1c91d40001a4b6ad	6	6	49	55	16	100	86.67	-5.769230769230769
5d7695cc7ae60f001bc4bde6	6	6	59	44	17	83.33	85.83	14.563106796116504
5d7e1d2db5bd580017d11cec	5	6	57	39	24	95.83	80	18.75
5d8125f63d05eb0001731115	5	6	44	50	26	91.67	78.33	-6.382978723404255
5d849ee0a954540019f513dd	6	6	72	35	13	100	89.17	34.57943925233645
5d89435aa8e8120018a4e202	5	6	49	41	30	95.83	75	8.88888888888889
5d8a2b0f887a21001543980f	0	6	47	57	16	100	86.67	-9.615384615384617
5d8a797185a7f1001a27c3cf	6	6	47	32	41	87.5	65.83	18.9873417721519
5d8a9a8714087d001898dbbf	0	6	73	24	23	100	80.83	50.51546391752577
5d91daf3704e790018f47229	0	6	47	58	15	95.83	87.5	-10.476190476190476
5d93c8c883e2470018a4f853	3	6	38	65	17	91.67	85.83	-26.21359223300971
5d959fdf9cf6ab001982afee	0	2	61	55	4	100	96.67	5.172413793103448
5da179412996110016d853d5	6	6	34	72	14	100	88.33	-35.84905660377358
5da3865a7f1f7d001005f581	6	6	79	28	13	100	89.17	47.66355140186916
5db061b0f876e1001620e2ee	0	2	55	56	9	100	92.5	-0.9009009009009009
5db16ce33990ed0014564873	0	6	57	44	19	100	84.17	12.871287128712872
5db41a3f9ca75a000b71110c	6	6	116	0	4	100	96.67	100
5db853720f6ebd000ba94ed8	6	6	43	57	20	95.83	83.33	-14.000000000000002
5dbbfa90c486791b1bd03292	6	6	38	53	29	95.83	75.83	-16.483516483516482
5dc52848b63adf3bbb43f869	6	6	60	24	36	83.33	70	42.857142857142854
5dc61a4e1173bb4786278f33	5	6	88	20	12	100	90	62.96296296296296
5dcb6fb005be6f8311d7e836	6	6	35	76	9	100	92.5	-36.93693693693694
5dcc836b6a24b5912d7c33f4	6	6	37	72	11	100	90.83	-32.11009174311927
5dcefcd0307b8d05031d7264	6	6	56	46	18	100	85	9.803921568627452
5dcfc4a09595a10cd3ef3e59	3	6	71	37	12	95.83	90	31.48148148148148
5dd2e29b2c5c102e6454227a	6	0	78	26	16	95.83	86.67	50
5dd3e3cd5daaa63c5fdb7bb8	6	6	32	72	16	100	86.67	-38.46153846153847
5dd3f2988f45b93cd7da62d3	3	6	30	63	27	87.5	77.5	-35.483870967741936
5dd48444dd9a7447d224cc71	6	6	28	42	50	58.33	58.33	-20
5dd72efa82569a6d38e06854	6	5	56	39	25	91.67	79.17	17.894736842105264
5dd742a140460e6e2b707d58	6	6	62	26	32	91.67	73.33	40.909090909090914
5dda7e609d9e309e55d8eeb2	0	5	0	120	0	100	100	-100
5ddc3d39fce606ba6f9e1fa4	6	6	38	54	28	87.5	76.67	-17.391304347826086
5ddd7db419eecbce5c2dbc6f	6	3	30	65	25	87.5	79.17	-36.84210526315789
5de260b9553cee28d97b058d	0	6	44	53	23	100	80.83	-9.278350515463918
5de4eec72cf204481c6e5c1e	5	6	56	30	34	87.5	71.67	30.23255813953488
5de5a131676a6d531c75b6ab	6	6	82	14	24	95.83	80	70.83333333333334
5de8734b44b3127e513ae247	5	6	44	51	25	87.5	79.17	-7.368421052631578
5de8bc74553cee8280a7dd84	6	6	95	17	8	100	93.33	69.64285714285714
5dea9f92c3aca11bffec8b7e	6	6	55	52	13	100	89.17	2.803738317757009
5ded38c39f631c3f7601388f	6	6	49	54	17	95.83	85.83	-4.854368932038835
5dee72917309b950e5262f3a	2	6	52	61	7	100	94.17	-7.964601769911504
5df15288b1fb0506c5fc6afb	6	6	60	45	15	87.5	87.5	14.285714285714285
5df8dfbb9b92b164c645b5b5	6	6	65	22	33	91.67	72.5	49.42528735632184
5dfac1ba83907981767ce907	6	5	95	9	16	100	86.67	82.6923076923077
5dfc64647adf4b971f329cbf	6	6	15	73	32	91.67	73.33	-65.9090909090909
5e03f8517f08edece67a3137	6	6	48	40	32	83.33	73.33	9.090909090909092
5e126c25a98a7a8fab258f14	6	6	14	96	10	95.83	91.67	-74.54545454545455
5e13859753e8469d270982c0	0	2	32	38	50	87.5	58.33	-8.571428571428571
5e14f72f557425b04528df9a	6	6	51	52	17	100	85.83	-0.9708737864077669
5e1582d9805a30b7d0c8b9c7	0	4	49	50	21	87.5	82.5	-1.0101010101010102
5e15da8a805a30bcd2ed796d	4	6	57	33	30	87.5	75	26.666666666666668
