Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649612061157c7c6f6ee6a11,6116aa8875bdab57cab52804,APPROVED,2023-06-23T21:44:14.343000Z,2023-06-23T22:25:27.802000Z,2023-06-23T22:26:06.688000,2023-06-23T22:25:28.244344Z,2474,C3AXSR3J,639,"English, Spanish",Left-handed,27,Female,Other,United States,United States,Mexico,English,No,Unemployed (and job seeking)
64961b531e07287fe54f024e,5cef892f0c5fb30018fbdfbe,APPROVED,2023-06-23T22:23:20.058000Z,2023-06-23T22:46:58.280000Z,2023-06-24T15:58:10.951000,2023-06-23T22:46:58.776200Z,1419,C3AXSR3J,611,English,Left-handed,37,Female,White,United States,United States,United States,English,No,Part-Time
64963824ee76994da575f52f,6314453e0a22cc4e1e66ca08,APPROVED,2023-06-24T00:26:44.725000Z,2023-06-24T00:52:24.083000Z,2023-06-24T15:58:11.105000,2023-06-24T00:52:24.520393Z,1540,C3AXSR3J,771,English,Left-handed,37,Male,White,United States,United States,United States,English,No,Full-Time
649643d5955644ec52ede3d8,5ee811d6f82aa71171ed4d83,APPROVED,2023-06-24T01:16:18.831000Z,2023-06-24T01:36:22.751000Z,2023-06-24T15:58:11.251000,2023-06-24T01:36:23.250019Z,1204,C3AXSR3J,931,English,Left-handed,26,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Part-Time
649644d61c5fbd92794caac4,5766d2f7fdff7a0001c1285b,APPROVED,2023-06-24T01:22:46.521000Z,2023-06-24T01:55:39.229000Z,2023-06-24T15:58:11.391000,2023-06-24T01:55:39.619385Z,1973,C3AXSR3J,674,"English, Spanish",Left-handed,36,Female,White,United States,United States,United States,English,No,Part-Time
6496530fbfe3f7dcd1630250,63d8665164999168637f2029,APPROVED,2023-06-24T02:21:08.110000Z,2023-06-24T02:42:44.507000Z,2023-06-24T15:58:11.542000,2023-06-24T02:42:44.932061Z,1297,C3AXSR3J,501,English,Left-handed,27,Female,White,United Kingdom,United States,United Kingdom,English,No,Full-Time
64965f7a48cf0532eab35096,6094af4acc2ca8dd2c6f8edd,APPROVED,2023-06-24T03:14:05.241000Z,2023-06-24T03:37:38.402000Z,2023-06-24T15:58:11.688000,2023-06-24T03:37:38.844265Z,1414,C3AXSR3J,137,"Farsi, English, Korean",Left-handed,24,Female,White,Iran,United States,Iran,Farsi,Yes,Part-Time
64969ecb3dda271280bade91,5f0bcb67acb8844f8a226f2b,APPROVED,2023-06-24T07:44:11.515000Z,2023-06-24T08:07:54.254000Z,2023-06-24T15:58:11.829000,2023-06-24T08:07:55.529253Z,1423,C3AXSR3J,1757,English,Left-handed,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6496a7b5a235353156693493,63f8a056531af02b77961676,APPROVED,2023-06-24T08:27:42.707000Z,2023-06-24T09:10:21.529000Z,2023-06-24T15:58:11.988000,2023-06-24T09:10:21.985874Z,2559,C3AXSR3J,721,"English, Other",Ambidextrous,34,Male,Black,Nigeria,United States,Nigeria,English,No,Full-Time
6496b50fc703739c8baf9b25,5e1582d9805a30b7d0c8b9c7,APPROVED,2023-06-24T09:19:17.269000Z,2023-06-24T09:39:23.593000Z,2023-06-24T15:58:12.182000,2023-06-24T09:39:24.092542Z,1207,C3AXSR3J,706,"English, German",Left-handed,24,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
6496e3c532a0ee44f126b191,5a063c2d844c7a00015e477d,APPROVED,2023-06-24T12:40:36.654000Z,2023-06-24T13:13:41.930000Z,2023-06-26T14:57:05.458000Z,2023-06-24T13:13:42.620000Z,1986,C3AXSR3J,1360,English,Left-handed,34,Male,White,United States,United States,United States,English,No,Part-Time
64971137fbab7df03f13a68e,63b8b6c709fbdad0880390d0,APPROVED,2023-06-24T15:52:31.958000Z,2023-06-24T16:11:11.903000Z,2023-06-24T19:14:17.212000,2023-06-24T16:11:12.450814Z,1120,NOCODE,84,English,Left-handed,22,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6497123f4c25680b68bf7cf4,60c939f66b866cfeb73eec68,APPROVED,2023-06-24T15:56:54.882000Z,2023-06-24T16:15:22.839000Z,2023-06-24T19:14:17.375000,2023-06-24T16:15:23.376645Z,1108,C3AXSR3J,386,"English, Spanish",Ambidextrous,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
